instance_id,mechanism_label,supporting_conditions,contrasting_conditions,confidence,rationale,supporting_artifact_paths,capped_excerpts
astropy__astropy-15082,same_file_transfer,raw,adp;memory;no_memory,high,Consistent with prior context exposing the target gold file and the successful run modifying that file.,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/memory,"prior_files_inspected: astropy/nddata/utils.py|docs/nddata/examples/cutout2d_tofits.py|astropy/nddata/nddata_withmixins.py|astropy/nddata/mixins/ndarithmetic.py|astropy/nddata/mixins/tests/test_ndarithmetic.py || prior_files_edited: astropy/nddata/mixins/ndarithmetic.py || prior_test_commands: cd testbed && python test_bug.py|python test_bug.py|python3 test_bug.py|3→import pytest|33→@pytest.mark.filterwarnings(""ignore:divide by zero encountered.*"")|34→@pytest.mark.parametrize(|307→ with pytest.raises(ValueError)|309→ with pytest.raises(ValueError)|311→ with pytest.raises(ValueError)|313→ with pytest.raises(ValueError)|1225→ with pytest.raises(KeyError)|1229→@pytest.mark.parametrize(""meth""..."
astropy__astropy-15082,localization_hint,raw,adp;memory;no_memory,medium,Consistent with prior-context localization: the winning run reached a target gold file or directory.,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/memory,"prior_files_inspected: astropy/nddata/utils.py|docs/nddata/examples/cutout2d_tofits.py|astropy/nddata/nddata_withmixins.py|astropy/nddata/mixins/ndarithmetic.py|astropy/nddata/mixins/tests/test_ndarithmetic.py || prior_files_edited: astropy/nddata/mixins/ndarithmetic.py || prior_test_commands: cd testbed && python test_bug.py|python test_bug.py|python3 test_bug.py|3→import pytest|33→@pytest.mark.filterwarnings(""ignore:divide by zero encountered.*"")|34→@pytest.mark.parametrize(|307→ with pytest.raises(ValueError)|309→ with pytest.raises(ValueError)|311→ with pytest.raises(ValueError)|313→ with pytest.raises(ValueError)|1225→ with pytest.raises(KeyError)|1229→@pytest.mark.parametrize(""meth""... || first_gold_file_read_step=3"
astropy__astropy-15082,failure_signature_transfer,raw,adp;memory;no_memory,medium,Consistent with the run observing a failure signature that overlaps prior or target issue evidence.,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/memory,"prior_files_inspected: astropy/nddata/utils.py|docs/nddata/examples/cutout2d_tofits.py|astropy/nddata/nddata_withmixins.py|astropy/nddata/mixins/ndarithmetic.py|astropy/nddata/mixins/tests/test_ndarithmetic.py || prior_files_edited: astropy/nddata/mixins/ndarithmetic.py || prior_test_commands: cd testbed && python test_bug.py|python test_bug.py|python3 test_bug.py|3→import pytest|33→@pytest.mark.filterwarnings(""ignore:divide by zero encountered.*"")|34→@pytest.mark.parametrize(|307→ with pytest.raises(ValueError)|309→ with pytest.raises(ValueError)|311→ with pytest.raises(ValueError)|313→ with pytest.raises(ValueError)|1225→ with pytest.raises(KeyError)|1229→@pytest.mark.parametrize(""meth""... || run_failures=docs/nitpick-exceptions|12 from astropy.utils.exceptions import AstropyUserWarning | 68 was given otherwise it raises a ``ValueError`` if the comparison was | 221 ValueError | 236 ..."
astropy__astropy-15082,patch_shape_transfer,raw,adp;memory;no_memory,medium,Consistent with prior-context patch-shape hints aligning with the successful patch location.,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/memory,"prior_files_inspected: astropy/nddata/utils.py|docs/nddata/examples/cutout2d_tofits.py|astropy/nddata/nddata_withmixins.py|astropy/nddata/mixins/ndarithmetic.py|astropy/nddata/mixins/tests/test_ndarithmetic.py || prior_files_edited: astropy/nddata/mixins/ndarithmetic.py || prior_test_commands: cd testbed && python test_bug.py|python test_bug.py|python3 test_bug.py|3→import pytest|33→@pytest.mark.filterwarnings(""ignore:divide by zero encountered.*"")|34→@pytest.mark.parametrize(|307→ with pytest.raises(ValueError)|309→ with pytest.raises(ValueError)|311→ with pytest.raises(ValueError)|313→ with pytest.raises(ValueError)|1225→ with pytest.raises(KeyError)|1229→@pytest.mark.parametrize(""meth""..."
astropy__astropy-15082,procedural_order_transfer,raw,adp;memory;no_memory,low,"Consistent with a prior search/read/edit procedure, but not enough to claim causality.",/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/memory,"prior_files_inspected: astropy/nddata/utils.py|docs/nddata/examples/cutout2d_tofits.py|astropy/nddata/nddata_withmixins.py|astropy/nddata/mixins/ndarithmetic.py|astropy/nddata/mixins/tests/test_ndarithmetic.py || prior_files_edited: astropy/nddata/mixins/ndarithmetic.py || prior_test_commands: cd testbed && python test_bug.py|python test_bug.py|python3 test_bug.py|3→import pytest|33→@pytest.mark.filterwarnings(""ignore:divide by zero encountered.*"")|34→@pytest.mark.parametrize(|307→ with pytest.raises(ValueError)|309→ with pytest.raises(ValueError)|311→ with pytest.raises(ValueError)|313→ with pytest.raises(ValueError)|1225→ with pytest.raises(KeyError)|1229→@pytest.mark.parametrize(""meth""..."
astropy__astropy-15082,raw_redundancy_helped,raw,adp;memory,medium,Consistent with raw transcript redundancy preserving useful evidence for the only successful prior representation.,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/memory,"prior_files_inspected: astropy/nddata/utils.py|docs/nddata/examples/cutout2d_tofits.py|astropy/nddata/nddata_withmixins.py|astropy/nddata/mixins/ndarithmetic.py|astropy/nddata/mixins/tests/test_ndarithmetic.py || prior_files_edited: astropy/nddata/mixins/ndarithmetic.py || prior_test_commands: cd testbed && python test_bug.py|python test_bug.py|python3 test_bug.py|3→import pytest|33→@pytest.mark.filterwarnings(""ignore:divide by zero encountered.*"")|34→@pytest.mark.parametrize(|307→ with pytest.raises(ValueError)|309→ with pytest.raises(ValueError)|311→ with pytest.raises(ValueError)|313→ with pytest.raises(ValueError)|1225→ with pytest.raises(KeyError)|1229→@pytest.mark.parametrize(""meth""..."
django__django-1891,same_file_transfer,raw,adp;memory;no_memory,high,Consistent with prior context exposing the target gold file and the successful run modifying that file.,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/memory,"prior_files_inspected: tests/admin_widgets/tests.py|tests/admin_widgets/models.py|tests/admin_views/tests.py|tests/admin_views/models.py|docs/topics/migrations.txt|docs/releases/2.0.txt|django/contrib/admin/filters.py|docs/releases/1.11.3.txt|django/forms/models.py|tests/model_forms/tests.py|tests/model_forms/models.py|django/db/models/query.py|opt/anaconda3/lib/python3.8/site-packages/tests/__init__.py|tests/runtests.py|tests/test_sqlite.py|tests/urls.py || prior_files_edited: django/forms/models.py|tests/model_forms/models.py|tests/model_forms/tests.py || prior_test_commands: 4→from unittest import mock, skipUnless|cd testbed && python3 tests/runtests.py model_forms.tests.LimitChoicesTo..."
django__django-1891,localization_hint,raw,adp;memory;no_memory,medium,Consistent with prior-context localization: the winning run reached a target gold file or directory.,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/memory,"prior_files_inspected: tests/admin_widgets/tests.py|tests/admin_widgets/models.py|tests/admin_views/tests.py|tests/admin_views/models.py|docs/topics/migrations.txt|docs/releases/2.0.txt|django/contrib/admin/filters.py|docs/releases/1.11.3.txt|django/forms/models.py|tests/model_forms/tests.py|tests/model_forms/models.py|django/db/models/query.py|opt/anaconda3/lib/python3.8/site-packages/tests/__init__.py|tests/runtests.py|tests/test_sqlite.py|tests/urls.py || prior_files_edited: django/forms/models.py|tests/model_forms/models.py|tests/model_forms/tests.py || prior_test_commands: 4→from unittest import mock, skipUnless|cd testbed && python3 tests/runtests.py model_forms.tests.LimitChoicesTo... || first_gold_file_read_step=2"
django__django-1891,test_command_transfer,raw,adp;memory;no_memory,high,Consistent with reuse of a prior-context test or reproduction command.,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/memory,"prior_files_inspected: tests/admin_widgets/tests.py|tests/admin_widgets/models.py|tests/admin_views/tests.py|tests/admin_views/models.py|docs/topics/migrations.txt|docs/releases/2.0.txt|django/contrib/admin/filters.py|docs/releases/1.11.3.txt|django/forms/models.py|tests/model_forms/tests.py|tests/model_forms/models.py|django/db/models/query.py|opt/anaconda3/lib/python3.8/site-packages/tests/__init__.py|tests/runtests.py|tests/test_sqlite.py|tests/urls.py || prior_files_edited: django/forms/models.py|tests/model_forms/models.py|tests/model_forms/tests.py || prior_test_commands: 4→from unittest import mock, skipUnless|cd testbed && python3 tests/runtests.py model_forms.tests.LimitChoicesTo... || run_tests=cd /testbed && python tests/runtests.py model_forms.tests.ForeignKeyWithM2MFilterTests --verbosity=2 2>&1|cd /testbed && python tests/runtests.py model_forms.tests.LimitChoicesToTests..."
django__django-1891,failure_signature_transfer,raw,adp;memory;no_memory,medium,Consistent with the run observing a failure signature that overlaps prior or target issue evidence.,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/memory,"prior_files_inspected: tests/admin_widgets/tests.py|tests/admin_widgets/models.py|tests/admin_views/tests.py|tests/admin_views/models.py|docs/topics/migrations.txt|docs/releases/2.0.txt|django/contrib/admin/filters.py|docs/releases/1.11.3.txt|django/forms/models.py|tests/model_forms/tests.py|tests/model_forms/models.py|django/db/models/query.py|opt/anaconda3/lib/python3.8/site-packages/tests/__init__.py|tests/runtests.py|tests/test_sqlite.py|tests/urls.py || prior_files_edited: django/forms/models.py|tests/model_forms/models.py|tests/model_forms/tests.py || prior_test_commands: 4→from unittest import mock, skipUnless|cd testbed && python3 tests/runtests.py model_forms.tests.LimitChoicesTo... || run_failures=tests/middleware_exceptions/ | /testbed/tests/test_exceptions/|8 from django.core.exceptions import ( | 177 raise TypeError('formfield_callback must be a function or callable') | 2..."
