instance_id,case_types,condition_outcomes,winning_conditions,losing_conditions,evidence_present_in_winner_missing_from_loser,winner_opened_gold_file_earlier,winner_first_gold_file_read_step,loser_first_gold_file_read_step,winner_edited_gold_file_and_loser_did_not,winner_reused_prior_test_command,winner_reused_prior_failure_signature,loser_followed_irrelevant_file_path,loser_produced_empty_patch,loser_failed_tests_or_patch_failed,winner_patch_files,loser_patch_files,supporting_artifact_paths
astropy__astropy-15082,raw_solved_memory_failed;raw_solved_adp_failed;exactly_one_prior_representation_solved,"no_memory:0,raw:1,adp:0,memory:0",raw,no_memory;adp;memory,,0,3,2,1,0,1,1,1,0,astropy/nddata/mixins/ndarithmetic.py,.astropy-root|astropy/__init__.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/astropy__astropy-15082/memory
django__django-1891,raw_solved_memory_failed;raw_solved_adp_failed;exactly_one_prior_representation_solved,"no_memory:0,raw:1,adp:0,memory:0",raw,no_memory;adp;memory,,0,2,2,0,1,1,1,0,1,django/forms/models.py|tests/model_forms/models.py|tests/model_forms/tests.py,django/db/models/query.py|tests/model_forms/tests.py|django/forms/models.py|tests/model_forms/models.py|tests/model_forms/tests.py|django/db/models/query.py|test_issue.py|tests/model_forms/models.py|tests/model_forms/tests.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/memory
django__django-20098,raw_solved_adp_failed;at_least_two_prior_representations_solved_but_not_all,"no_memory:0,raw:1,adp:0,memory:1",raw;memory,no_memory;adp,,0,2,2,0,1,1,1,1,0,django/core/checks/model_checks.py|tests/check_framework/test_db_table_collision.py|django/core/checks/model_checks.py|tests/check_framework/tests.py,django/core/checks/model_checks.py|tests/invalid_models_tests/test_models.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/memory
django__django-28211,memory_solved_raw_failed;adp_solved_raw_failed;at_least_two_prior_representations_solved_but_not_all,"no_memory:0,raw:0,adp:1,memory:1",adp;memory,no_memory;raw,,0,3,2,0,1,1,0,0,1,django/db/models/query_utils.py|tests/queries/test_q.py,django/db/models/query_utils.py|tests/or_lookups/tests.py|django/db/models/query_utils.py|test_or_optimization.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-28211/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-28211/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-28211/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-28211/memory
django__django-30254,raw_solved_memory_failed;at_least_two_prior_representations_solved_but_not_all,"no_memory:0,raw:1,adp:1,memory:0",raw;adp,no_memory;memory,,0,2,2,0,1,1,1,1,1,django/db/models/base.py|test_metaclass_attrs.py|django/db/models/base.py,test_metaclass_attrs.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-30254/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-30254/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-30254/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-30254/memory
django__django-30931,raw_solved_memory_failed;raw_solved_adp_failed;exactly_one_prior_representation_solved,"no_memory:0,raw:1,adp:0,memory:0",raw,no_memory;adp;memory,contains_relevant_test_command,0,5,3,0,1,1,1,1,1,django/db/models/fields/__init__.py|tests/model_fields/tests.py,django/db/models/fields/__init__.py|tests/model_fields/tests.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-30931/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-30931/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-30931/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-30931/memory
django__django-31181,memory_solved_raw_failed;exactly_one_prior_representation_solved,"no_memory:0,raw:0,adp:0,memory:1",memory,no_memory;raw;adp,,0,3,3,0,0,1,0,0,1,django/contrib/admin/helpers.py|django/contrib/admin/options.py|tests/admin_views/tests.py,django/contrib/admin/helpers.py|django/contrib/admin/options.py|django/contrib/auth/admin.py|tests/admin_views/tests.py|django/contrib/admin/helpers.py|django/contrib/admin/options.py|tests/admin_views/tests.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-31181/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-31181/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-31181/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-31181/memory
django__django-33461,raw_solved_memory_failed;at_least_two_prior_representations_solved_but_not_all,"no_memory:1,raw:1,adp:1,memory:0",no_memory;raw;adp,memory,,1,4,6,0,1,1,0,0,1,django/template/base.py|tests/template_tests/tests.py|django/views/templates/technical_500.html|tests/view_tests/tests/test_debug.py,django/views/templates/technical_500.html|tests/view_tests/tests/test_debug.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-33461/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-33461/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-33461/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-33461/memory
django__django-33871,memory_solved_raw_failed;exactly_one_prior_representation_solved,"no_memory:0,raw:0,adp:0,memory:1",memory,no_memory;raw;adp,,0,38,15,1,1,1,1,1,1,django/forms/boundfield.py|test_jsonfield_issue.py|tests/model_forms/tests.py,django/db/models/fields/json.py|test_jsonfield_issue.py|tests/model_fields/test_jsonfield.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-33871/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-33871/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-33871/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-33871/memory
django__django-34570,memory_solved_raw_failed;exactly_one_prior_representation_solved,"no_memory:0,raw:0,adp:0,memory:1",memory,no_memory;raw;adp,,1,2,3,1,0,1,1,1,0,django/db/models/sql/query.py|tests/contenttypes_tests/test_fields.py|tests/defer_regress/tests.py,,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-34570/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-34570/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-34570/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-34570/memory
